Id	Sire	Dam
G2_431872	G1_801698	G1_973614
G2_432072	G1_801698	G1_973614
G2_425484	G1_801698	G1_973614
G2_426165	G1_801698	G1_973614
G2_431334	G1_801698	G1_973614
G2_425367	G1_801698	G1_973614
G2_425503	G1_801698	G1_973614
G2_430925	G1_801698	G1_973614
G2_431214	G1_801698	G1_973614
G2_425304	G1_801698	G1_973614
G2_431658	G1_801698	G1_973614
G2_426022	G1_801698	G1_973614
G2_425556	G1_801698	G1_973614
G2_425064	G1_801698	G1_973614
G2_431112	G1_801698	G1_973614
G2_425024	G1_801698	G1_973614
G2_7800873	G1_801698	G1_973614
G2_7801208	G1_801698	G1_973614
G2_7091787	G1_801698	G1_973614
G2_7091747	G1_801698	G1_973614
G2_7801035	G1_801698	G1_973614
G2_7402382	G1_801698	G1_973614
G2_7801243	G1_801698	G1_973614
G2_7402431	G1_801698	G1_973614
G2_7801077	G1_801698	G1_973614
G2_7801223	G1_801698	G1_973614
G2_7800870	G1_801698	G1_973614
G2_7801147	G1_801698	G1_973614
G2_7402244	G1_801698	G1_973614
G2_7801118	G1_801698	G1_973614
G2_7800923	G1_801698	G1_802693
G2_7091748	G1_801698	G1_802693
G2_7801022	G1_801698	G1_802693
G2_7091810	G1_801698	G1_802693
G2_7801160	G1_801698	G1_802693
G2_7402241	G1_801698	G1_802693
G2_7402397	G1_801698	G1_802693
G2_7801011	G1_801698	G1_802693
G2_7800956	G1_801698	G1_802693
G2_7402261	G1_801698	G1_802693
G2_7801038	G1_801698	G1_802693
G2_7801156	G1_801698	G1_802693
G2_7402296	G1_801698	G1_802693
G2_7402294	G1_801698	G1_802693
G2_7091777	G1_801698	G1_802693
G2_7801132	G1_801698	G1_802693
G2_7402413	G1_801698	G1_802693
G2_7402362	G1_801698	G1_802693
G2_7402364	G1_801698	G1_802693
G2_7091741	G1_801698	G1_802693
G2_7801036	G1_801698	G1_802693
G2_7801017	G1_801698	G1_802693
G2_7800889	G1_801698	G1_802693
G2_7402310	G1_801698	G1_802693
G2_7091778	G1_801698	G1_802693
G2_7801284	G1_801698	G1_802693
G2_7402429	G1_801698	G1_802693
G2_7402448	G1_801698	G1_802693
G2_7091757	G1_801698	G1_802693
G2_7801127	G1_801698	G1_802693
G2_431966	G1_823196	G1_822979
G2_426161	G1_823196	G1_822979
G2_424643	G1_823196	G1_822979
G2_431593	G1_823196	G1_822979
G2_430484	G1_823196	G1_822979
G2_424281	G1_823196	G1_822979
G2_425664	G1_823196	G1_822979
G2_425244	G1_823196	G1_822979
G2_425092	G1_823196	G1_822979
G2_430251	G1_823196	G1_822979
G2_425682	G1_823196	G1_822979
G2_424247	G1_823196	G1_822979
G2_425088	G1_823196	G1_822979
G2_430256	G1_823196	G1_822979
G2_430839	G1_823196	G1_822979
G2_431884	G1_823196	G1_822979
G2_430661	G1_823196	G1_822979
G2_430497	G1_823196	G1_822979
G2_431669	G1_823196	G1_822979
G2_430774	G1_823196	G1_822979
G2_425953	G1_823196	G1_822979
G2_424391	G1_823196	G1_822979
G2_431213	G1_823196	G1_822979
G2_426157	G1_823196	G1_822979
G2_430655	G1_823196	G1_822979
G2_425625	G1_823196	G1_822979
G2_430896	G1_823196	G1_822979
G2_430298	G1_823196	G1_822979
G2_430365	G1_823196	G1_822979
G2_426096	G1_823196	G1_822979
G2_425704	G1_823196	G1_299593
