PIT	Length	Weight	Tank	Sex	Site
919540	465	1514	1	U	1
918025	455	1250	1	U	1
917803	405	937	1	U	1
918763	505	2667	4	M	2
917365	500	2204	4	U	2
916380	520	2336	4	U	2
9186524	535	3065	4	U	2
915778	490	1774	4	U	2
916993	435	1426	3	U	1
916238	475	1545	3	U	1
916890	475	1408	3	U	1
919647	525	2424	3	M	1
916592	435	1224	3	M	1
918602	465	1572	3	U	1
917824	460	1198	3	U	1
917332	495	2118	3	U	1
917463	475	1418	3	U	1
918936	490	2317	3	M	1
916422	420	1069	3	U	1
917426	505	1889	3	M	1
917919	470	1468	3	U	1
917067	435	1291	3	U	1
917485	445	1236	3	U	1
917035	455	1425	3	U	1
9168104	485	1840	3	U	1
918162	NA	1520	3	U	1
919852	455	1637	3	U	1
918969	465	1563	3	M	1
920508	485	1627	3	U	1
9163844	430	1236	3	U	1
915644	515	2191	3	M	1
9169034	460	1390	3	M	1
919492	480	1635	3	U	1
917157	475	1701	3	M	1
917720	410	904	4	U	2
919435	510	2202	4	U	2
9191934	445	1233	4	U	2
918730	485	2042	4	U	2
918178	505	2225	4	U	2
920166	530	3143	4	U	2
9196545	485	1713	1	U	1
920081	360	637	1	U	1
919008	430	1328	1	U	1
915894	430	1242	1	U	1
917125	465	1560	1	M	1
915782	460	1670	1	U	1
919700	485	1626	1	M	1
918423	470	1535	1	U	1
917997	450	1268	1	U	1
917403	500	1923	1	U	1
915671	355	584	1	U	1
916368	410	963	1	U	1
915817	490	1642	1	U	1
918665	500	1836	1	M	1
920044	415	836	1	U	1
917727	485	1576	1	M	1
918212	430	1083	1	U	1
920179	445	1477	3	U	1
916116	515	2170	3	U	1
919408	475	1773	3	U	1
919926	430	1208	3	U	1
917171	405	1137	3	U	1
917189	420	1420	3	U	1
916858	460	1354	3	U	1
920483	460	1325	3	U	1
915677	450	1458	3	U	1
916222	440	1389	3	U	1
917431	475	1865	3	U	1
915812	430	1339	3	M	1
916181	390	934	3	U	1
919522	460	1380	3	U	1
918575	430	1244	3	U	1
916661	455	1608	3	M	1
919384	475	1850	3	U	1
915665	425	1140	3	U	1
917222	455	1761	3	U	1
920129	505	2412	3	M	1
920297	405	942	3	U	1
916941	430	1153	3	U	1
917723	475	1760	3	U	1
917938	440	1152	3	U	1
918897	505	2265	3	U	1
916053	485	1300	3	M	1
917015	490	1994	3	M	1
918478	420	1179	3	U	1
919152	455	1781	3	M	1
915849	465	1648	3	M	1
919092	485	1956	1	M	1
918625	460	1333	1	U	1
917538	440	1173	1	U	1
915820	410	1144	1	U	1
920565	470	1617	1	U	1
917620	435	1055	1	M	1
916333	425	1256	1	U	1
920293	400	968	1	U	1
919560	465	1505	1	M	1
918746	445	1519	1	M	1
916637	450	1218	1	U	1
916411	430	1269	1	U	1
916513	495	1826	1	M	1
920139	455	1433	1	M	1
916866	415	955	1	U	1
916195	480	1714	1	U	1
915634	445	1345	1	U	1
920309	430	1232	1	M	1
916254	490	1941	1	U	1
916385	430	1289	1	U	1
917623	465	1357	1	U	1
915683	435	1394	1	U	1
920279	385	827	1	U	1
916078	500	2080	1	U	1
919528	410	826	1	U	1
919786	455	1525	1	U	1
918147	485	1921	1	U	1
918145	400	916	1	U	1
918347	415	1144	1	U	1
916869	425	1092	1	U	1
917917	505	1942	1	U	1
918295	420	1191	1	M	1
916334	460	1398	1	U	1
920188	470	1761	1	M	1
919496	410	1166	1	U	1
916281	380	848	1	U	1
920028	460	1468	1	U	1
919175	440	1391	1	U	1
916382	425	1289	1	U	1
918504	470	1688	1	U	1
919689	420	1337	1	U	1
918481	490	1757	1	M	1
920442	490	1812	1	M	1
915854	425	1090	1	U	1
916024	460	1391	1	U	1
918114	450	1343	1	U	1
918601	405	905	1	U	1
920306	465	1591	1	M	1
917369	380	707	1	U	1
918824	390	892	1	U	1
916831	440	1154	1	U	1
919500	495	1527	1	M	1
917772	475	1276	1	U	1
919738	495	1740	1	M	1
918502	450	1412	1	U	1
916656	475	1628	1	M	1
919171	500	1778	1	U	1
918491	390	740	1	U	1
918119	420	942	1	U	1
919018	455	1209	1	M	1
919784	455	1543	1	M	1
919504	460	1501	1	U	1
918479	450	1509	1	U	1
918767	465	1813	1	M	1
919025	515	2355	1	M	1
917102	465	1590	1	U	1
918250	480	1408	1	M	1
917381	445	1305	1	U	1
917477	400	871	1	U	1
917760	450	1358	1	U	1
917479	450	1198	1	U	1
915845	465	1806	1	U	1
920066	405	808	1	U	1
917001	480	1643	1	M	1
915702	415	1148	1	U	1
919979	485	1926	1	U	1
917563	425	1193	1	U	1
916201	465	1550	1	U	1
917562	495	1723	1	U	1
917719	465	1401	1	U	1
917627	440	1210	1	U	1
916004	385	662	1	U	1
917944	390	753	1	U	1
920308	445	1518	1	M	1
919416	440	1313	1	U	1
918256	455	1271	1	U	1
919219	485	1707	1	U	1
918410	440	1378	1	M	1
916531	495	1920	1	M	1
917445	445	1244	1	U	1
916109	415	1280	1	U	1
919042	520	2466	1	M	1
915821	460	1485	1	U	1
919629	485	1946	1	U	1
915925	430	1445	1	U	1
918144	430	1127	1	U	1
917047	465	1460	1	M	1
918433	495	1702	1	M	1
916365	470	1724	1	U	1
919661	410	966	1	U	1
919984	435	1152	1	U	1
920161	430	1034	1	U	1
918560	485	1647	1	U	1
920211	495	1794	1	U	1
918402	385	657	1	U	1
919485	475	1515	1	M	1
917712	440	924	1	U	1
917170	495	1979	1	M	1
916124	445	1352	1	M	1
916741	460	1563	1	U	1
918460	415	1164	1	M	1
920506	425	1134	1	U	1
918509	400	935	1	U	1
918357	435	1069	1	U	1
917062	465	1620	1	U	1
919074	475	1654	1	U	1
915824	350	531	1	U	1
916257	470	1898	1	U	1
920083	445	1450	1	M	1
918201	460	1380	1	U	1
916652	475	1523	1	M	1
919890	505	2018	1	M	1
916686	475	1742	1	M	1
920100	490	1627	1	M	1
916774	435	1189	1	U	1
915754	465	1665	1	U	1
920373	485	1689	1	U	1
916461	440	1374	1	U	1
918307	445	1328	1	U	1
918245	475	1690	1	U	1
918053	470	1656	1	M	1
918033	460	1538	1	U	1
918610	420	951	1	U	1
918176	360	577	1	U	1
916010	415	984	1	U	1
920143	425	1025	1	U	1
920291	485	1688	1	M	1
918428	415	963	1	U	1
916381	465	1658	1	M	1
918914	455	1831	1	U	1
919393	475	1731	1	M	1
919452	430	1072	1	U	1
919481	440	1057	1	U	1
917864	495	1804	1	M	1
917464	485	1832	1	U	1
920249	495	1837	1	U	1
917207	365	810	1	U	1
917843	515	2154	1	M	1
919010	425	950	1	U	1
917731	530	2419	1	U	1
918164	475	1846	1	U	1
919625	450	1183	1	U	1
916917	455	1431	1	U	1
916318	455	1282	1	U	1
917312	350	931	1	U	1
918037	405	872	1	U	1
919876	400	929	1	U	1
918171	430	1195	1	U	1
919590	400	1294	1	U	1
916390	455	1400	1	U	1
917930	465	1774	1	U	1
918064	485	1763	1	M	1
917984	435	1253	1	U	1
916246	415	1213	1	U	1
917848	510	1851	1	M	1
917626	400	879	1	U	1
917133	500	2205	1	U	1
919263	485	1633	1	U	1
917820	435	956	1	U	1
917359	425	1259	1	U	1
918050	480	1673	1	M	1
916140	480	1665	1	U	1
919141	465	1645	1	U	1
918168	420	1106	1	U	1
916933	420	1065	1	U	1
917766	485	1778	1	U	1
917756	455	1585	1	M	1
919421	460	1520	1	U	1
915714	465	1620	1	U	1
916169	445	1398	1	M	1
916337	400	NA	1	U	1
916566	415	1229	1	U	1
917575	350	775	1	U	1
919922	430	1263	1	U	1
917775	435	1231	1	U	1
915919	405	1020	1	U	1
920560	445	1541	1	U	1
919336	455	1442	1	U	1
919206	465	1345	1	U	1
918540	475	1513	1	M	1
919709	385	922	1	U	1
916230	445	1407	1	M	1
919109	475	1729	1	M	1
916600	460	1484	1	U	1
920487	435	1305	1	U	1
918823	425	957	1	U	1
916020	500	1783	1	M	1
917087	450	1280	1	U	1
916915	460	1487	1	U	1
916826	450	1434	1	U	1
915699	435	1124	1	U	1
918627	430	983	1	M	1
918312	475	1554	1	U	1
918642	470	1628	1	U	1
918715	375	638	1	U	1
916510	455	1331	1	U	1
919676	465	1453	1	U	1
920392	390	916	1	U	1
918579	425	1002	1	U	1
917491	NA	882	1	U	1
