Id	Date	Length	Weight	Pond
G2_425869	07	390	718.6	1
G2_431479	07	410	969.2	1
G2_425963	07	415	929.5	1
G2_430763	07	415	967.5	1
G2_430664	07	375	831.9	1
G2_430856	07	405	780.3	1
G2_424495	07	355	582.0	1
G2_432018	07	400	836.8	1
G2_431450	07	385	785.4	1
G2_430576	07	410	889.8	1
G2_424785	07	415	836.6	1
G2_424394	07	405	1013.0	1
G2_425127	07	430	1039.1	1
G2_430429	07	435	1135.2	1
G2_424421	07	430	935.0	1
G2_425607	07	415	895.0	1
G2_430240	07	400	840.0	1
G2_425048	07	300	328.0	1
G2_7801290	07	415	902.0	1
G2_424916	07	395	856.0	1
G2_7091747	07	385	813.0	1
G2_425761	07	405	927.0	1
G2_431871	07	425	955.0	1
G2_425446	07	410	902.0	1
G2_425626	07	385	762.0	1
G2_430620	07	430	978.0	1
G2_431267	07	380	736.0	1
G2_7402444	07	385	668.0	1
G2_425681	07	365	660.0	1
G2_431290	07	365	673.0	1
G2_424435	07	380	725.0	1
G2_424790	07	420	1006.0	1
G2_430357	07	405	926.0	1
G2_426002	07	410	878.0	1
G2_425794	07	415	941.0	1
G2_424311	07	425	927.0	1
G2_431364	07	435	1099.0	1
G2_431525	07	415	1017.0	1
G2_430904	07	415	855.0	1
G2_430981	07	415	883.0	1
G2_430756	07	400	777.0	1
G2_430423	07	405	853.0	1
G2_425535	07	440	1131.0	1
G2_425120	07	425	953.0	1
G2_424762	07	345	503.0	1
G2_424457	07	410	963.0	1
G2_425245	07	415	1042.0	1
G2_430436	07	415	939.0	1
G2_431656	07	425	921.0	1
G2_424610	07	360	627.0	1
G2_425876	07	385	759.0	1
G2_431393	07	380	664.0	1
G2_430716	07	425	877.0	1
G2_430794	07	450	1192.0	1
G2_425373	07	380	703.0	1
G2_425313	07	400	909.0	1
G2_431000	07	445	1199.0	1
G2_425512	07	435	1098.0	1
G2_430897	07	435	1021.0	1
G2_424307	07	440	1055.0	1
G2_7801024	07	355	556.0	1
G2_425246	07	425	1080.0	1
G2_430711	07	410	934.0	1
G2_425743	07	435	1091.0	1
G2_431999	07	400	849.0	1
G2_425555	07	395	890.0	1
G2_432134	07	370	633.0	1
G2_424266	07	385	686.0	1
G2_431074	07	370	752.0	1
G2_430948	07	415	949.0	1
G2_431696	07	415	911.0	1
G2_432142	07	390	816.0	1
G2_431882	07	395	841.0	1
G2_424367	07	395	779.0	1
G2_430512	07	435	992.0	1
G2_425270	07	390	807.0	1
G2_431694	07	340	457.0	1
G2_432026	07	360	594.0	1
G2_431796	07	425	1013.0	1
G2_424611	07	400	858.0	1
G2_7801223	07	410	850.0	1
G2_425918	07	405	930.0	1
G2_431956	07	400	846.0	1
G2_431637	07	410	903.0	1
G2_7091810	07	395	809.0	1
G2_424952	07	390	741.0	1
G2_425147	07	380	727.0	1
G2_431616	07	370	626.0	1
G2_7800935	07	415	898.0	1
G2_430800	07	405	837.0	1
G2_431358	07	425	965.0	1
G2_431513	07	410	895.0	1
G2_425979	07	345	581.0	1
G2_432040	07	340	562.0	1
G2_425041	07	400	880.0	1
G2_425194	07	400	864.0	1
G2_424241	07	415	845.0	1
G2_425995	07	410	928.0	1
G2_430572	07	405	952.0	1
G2_425427	07	405	914.0	1
G2_425922	07	385	741.0	1
G2_424928	07	415	862.0	1
G2_425417	07	425	926.0	1
G2_425350	07	395	879.0	1
G2_425472	07	400	847.0	1
G2_425683	07	410	868.0	1
G2_425997	07	395	873.0	1
G2_424550	07	430	979.0	1
G2_431475	07	415	860.0	1
G2_424443	07	445	1153.0	1
G2_425592	07	350	520.0	1
G2_425238	07	425	915.0	1
G2_431708	07	385	743.0	1
G2_425152	07	435	964.0	1
G2_430726	07	420	952.0	1
G2_431531	07	400	839.0	1
G2_424250	07	420	993.0	1
G2_425906	07	410	882.0	1
G2_425001	07	385	703.0	1
G2_431120	07	440	1158.0	1
G2_431768	07	385	790.0	1
G2_430714	07	385	858.0	1
G2_430591	07	420	1042.0	1
G2_430508	07	420	984.0	1
G2_425844	07	400	965.0	1
G2_431868	07	430	1056.0	1
G2_430946	07	365	637.0	1
G2_424591	07	410	963.0	1
G2_431256	07	430	1123.0	1
G2_431489	07	415	846.0	1
G2_432137	07	410	896.0	1
G2_430556	07	405	813.0	1
G2_425345	07	450	1266.0	1
G2_430748	07	365	600.0	1
G2_425040	07	400	818.0	1
G2_431566	07	390	786.0	1
G2_431851	07	385	704.0	1
G2_424994	07	365	631.0	1
G2_425444	07	415	943.0	1
G2_431519	07	410	906.0	1
G2_424579	07	355	693.0	1
G2_7402350	07	400	809.0	1
G2_432079	07	415	1074.0	1
G2_424547	07	410	846.0	1
G2_430848	07	400	981.0	1
G2_432061	07	410	909.0	1
G2_424493	07	405	729.0	1
G2_431361	07	410	904.0	1
G2_425449	07	395	843.0	1
G2_430217	07	415	1004.0	1
G2_424795	07	405	850.0	1
G2_432037	07	385	684.0	1
G2_432093	07	395	801.0	1
G2_431758	07	395	719.0	1
G2_425718	07	375	641.0	1
G2_431822	07	405	822.0	1
G2_430909	07	425	1013.0	1
G2_425622	07	430	998.0	1
G2_430963	07	435	1131.0	1
G2_430488	07	440	1202.0	1
G2_425305	07	395	799.0	1
G2_424712	07	400	769.0	1
G2_424325	07	415	875.0	1
G2_430637	07	385	707.0	1
G2_425650	07	430	997.0	1
G2_424991	07	385	865.0	1
G2_431089	07	420	1037.0	1
G2_425787	07	405	886.0	1
G2_430336	07	375	629.0	1
G2_426115	07	405	838.0	1
G2_431445	07	420	1109.0	1
G2_424674	07	390	771.0	1
G2_424731	07	425	968.0	1
G2_431632	07	440	1105.0	1
G2_431468	07	405	827.0	1
G2_424838	07	370	666.0	1
G2_431298	07	415	1050.0	1
G2_432059	07	375	603.0	1
G2_431238	07	430	1052.0	1
G2_425758	07	425	992.0	1
G2_431570	07	435	1085.0	1
G2_431221	07	420	929.0	1
G2_424489	07	375	621.0	1
G2_425016	07	410	911.0	1
G2_425628	07	405	870.0	1
G2_425077	07	435	1089.0	1
G2_424441	07	350	568.0	1
G2_425960	07	415	998.0	1
G2_430486	07	420	954.0	1
G2_430870	07	420	967.0	1
G2_430797	07	380	618.0	1
G2_430307	07	395	850.0	1
G2_424617	07	405	858.0	1
G2_431557	07	425	1031.0	1
G2_432100	07	395	740.0	1
G2_424682	07	365	743.0	1
G2_431813	07	450	1109.0	1
G2_431878	07	415	925.0	1
G2_431605	07	360	630.0	1
G2_430540	07	415	976.0	1
G2_425099	07	435	1033.0	1
G2_431595	07	405	833.0	1
G2_425984	07	400	862.0	1
G2_431286	07	375	746.0	1
G2_430956	07	395	967.0	1
G2_424880	07	310	326.0	1
G2_424575	07	435	1066.0	1
G2_424507	07	415	933.0	1
G2_7402373	07	405	883.0	1
G2_431115	07	450	1234.0	1
G2_426103	07	385	614.0	1
G2_431049	07	405	870.0	1
G2_425541	07	380	679.0	1
G2_426110	07	395	791.0	1
G2_430416	07	435	1075.0	1
G2_424930	07	385	752.0	1
G2_425475	07	435	998.0	1
G2_425737	07	400	900.0	1
