Animal_Id;Location;Line;Weight_initial;Weight_final;Length_initial;Length_final
10977965;Kunduchi;Wami;84.3;201.5;14.2;18
10978207;Kunduchi;Wami;67.8;0;13.4;0
10978378;Kunduchi;Wami;103.94;225.9;14.4;18.5
10978460;Kunduchi;Wami;84.85;239.2;14.5;19.9
10977732;Kunduchi;Wami;78.29;195.6;14;19
10978532;Kunduchi;Wami;89.93;220;14.7;19
10978612;Kunduchi;Wami;117.83;270.9;15;20
10977963;Kunduchi;Wami;92.48;209.4;14.9;18.3
10977682;Kunduchi;Wami;95.54;178.8;14.9;17.7
10978295;Kunduchi;Wami;70.27;135.2;13.3;16
10977643;Kunduchi;Wami;79.96;184;14.2;18.2
10978401;Kunduchi;Wami;101.76;173.9;14.5;17.2
10978321;Kunduchi;Wami;52.01;168.8;12.5;17
10978593;Kunduchi;Wami;91.93;182.7;14.3;18
10977891;Kunduchi;Wami;83.48;183;13.8;17.5
10978510;Kunduchi;Wami;87.03;219.9;14.3;18.5
10978282;Kunduchi;Wami;87.54;213.1;13.4;17
10978130;Kunduchi;Wami;69.83;204.7;13.3;19
10977956;Kunduchi;Wami;76.47;218.2;13.7;18.5
10978586;Kunduchi;Wami;84.97;179.3;14;17.1
10978426;Kunduchi;Wami;69.47;0;13.3;0
10978463;Kunduchi;Wami;70.53;196.1;13.4;18
10977973;Kunduchi;Wami;69.51;171.1;13.3;16.7
10978434;Kunduchi;Wami;58.31;134;12.4;15.9
10978506;Kunduchi;Wami;66.77;176.3;13;17.7
10977686;Kunduchi;Wami;59.62;205.2;12.6;18
10978184;Kunduchi;Wami;67.13;176.4;13.1;17
10978407;Kunduchi;Wami;63.1;124.1;12.7;15
10977751;Kunduchi;Wami;49.72;142.3;12.2;18.3
10977710;Kunduchi;Wami;50.47;176.1;12.4;17
10977793;Kunduchi;Wami;75.82;0;13.5;0
10977889;Kunduchi;Wami;95.01;185.9;14.2;18
10977985;Kunduchi;Wami;79.43;184.6;13.3;16.9
10977702;Kunduchi;Wami;72.32;0;13.2;0
10978024;Kunduchi;Wami;66.06;163;12.9;17
10978539;Kunduchi;Wami;70.59;186.2;13.1;18
10978226;Kunduchi;Wami;78.25;261.1;13.4;19.5
10977804;Kunduchi;Wami;80.97;241.2;13.3;18.7
10977856;Kunduchi;Wami;73.91;147.1;13.7;16.1
10978385;Kunduchi;Wami;72.35;162;13.4;17.1
10978349;Kunduchi;Wami;61.61;0;12.5;0
10978217;Kunduchi;Wami;59.55;171.4;12;17
10978432;Kunduchi;Wami;62.18;0;12.3;0
10977749;Kunduchi;Wami;56.34;119;12.2;15
10978630;Kunduchi;Wami;64.24;0;13.2;0
10978307;Kunduchi;Wami;55.65;193.5;12.2;17.5
10977769;Kunduchi;Wami;61.06;191.8;12.4;17.5
10978616;Kunduchi;Wami;56.34;135.6;13.3;15.8
10977698;Kunduchi;Wami;50.65;163.7;12;16.6
10977700;Kunduchi;Wami;57.05;98.4;12.3;14.6
10978309;Kunduchi;Wami;47.05;151.8;11.9;15.8
10978092;Kunduchi;Wami;48.17;142.6;11.3;16
10978565;Kunduchi;Wami;50.65;136.3;11.7;16.2
10977770;Kunduchi;Wami;41.7;105.4;10.9;14.2
10978008;Kunduchi;Wami;59.95;0;12.4;0
10978431;Kunduchi;Wami;38.34;126.3;10.6;15.5
10977968;Kunduchi;Wami;32.52;64.4;10.4;12.5
10978117;Kunduchi;Wami;40.16;120.1;11;15.2
10978045;Kunduchi;Wami;39.15;0;11;0
10978344;Kunduchi;Wami;33.81;77.2;10.5;13
10978284;Kunduchi;Wami;57.23;156.6;12.2;16
10978427;Kunduchi;Wami;42.06;91.6;11.4;13.9
10977905;Kunduchi;Wami;103.99;128.1;15;15.3
10978034;Kunduchi;Wami;36.06;91.3;10.5;13
10977840;Kunduchi;Wami;63.03;122.9;12.2;14.6
10978629;Kunduchi;Wami;86.04;133.5;13;15.8
10978414;Kunduchi;Wami;58.91;126.2;12;15
10978181;Kunduchi;Wami;40.38;103.9;10.2;14
10978019;Kunduchi;Wami;44.34;0;11;0
10978373;Kunduchi;Wami;38.41;83.7;10;13
10978354;Kunduchi;Wami;30.47;86.5;10;13.2
10978325;Kunduchi;Wami;32.16;0;10;0
10977768;Kunduchi;Wami;34.08;89.4;9.8;13
10977993;Kunduchi;Wami;33.8;74.6;9.7;12
10978395;Kunduchi;Wami;29;0;9.7;0
10978359;Kunduchi;Wami;47.7;131.3;11.2;18.1
10977862;Kunduchi;Wami;39.4;118.4;10.5;14.6
10977747;Kunduchi;Wami;42.46;108.2;11.5;15.7
10977668;Kunduchi;Wami;63.9;151;12.7;15.5
10977971;Kunduchi;Wami;33.45;97.5;10.4;14
10978521;Kunduchi;Wami;91.48;97.5;14.2;14
10978047;Kunduchi;Wami;59.12;130;12;14.9
10978466;Kunduchi;Wami;88.89;200.4;13.2;17.1
10975865;Kunduchi;Wami;82.1;137.9;13;15
10977890;Kunduchi;Wami;43.25;116.7;10.7;15
10978180;Kunduchi;Wami;61.88;169;12;16.5
10977838;Kunduchi;Wami;42.89;97.3;10.8;13.5
10977703;Kunduchi;Wami;83.29;123.6;13.2;15
10977785;Kunduchi;Wami;63.65;132.2;12.2;15.1
10978224;Kunduchi;Wami;52.66;157.4;11.6;15
10978313;Kunduchi;Wami;45.1;119;10.9;15
10978091;Kunduchi;Wami;49.51;105.4;11.6;14
10978230;Kunduchi;Wami;34.81;0;9.9;0
10978382;Kunduchi;Wami;38.46;128.1;10.2;14.5
10977976;Kunduchi;Wami;31.45;0;9.7;0
10977922;Kunduchi;Wami;32.15;100.5;10;14.2
10977805;Kunduchi;Wami;32.58;89.1;10;13.5
10978068;Kunduchi;Wami;27.5;0;9.2;0
10978608;Kunduchi;Wami;28.36;101.1;9.3;13.5
10977871;Kunduchi;Wami;26.43;75.3;9.2;12.5
10978206;Kunduchi;Wami;24.86;0;9.1;0
10978440;Kunduchi;Wami;20.71;0;9;0
10978338;Kunduchi;Wami;22.97;62.1;9;12.1
10978294;Kunduchi;Wami;21.46;0;8.5;0
10975859;Kunduchi;Wami;19.9;0;8.5;0
10978531;Kunduchi;Wami;16.85;42;8;10.5
10978156;Kunduchi;Wami;16.22;0;8;0
10978459;Kunduchi;Wami;14.85;0;7.7;0
10978040;Kunduchi;Chemchem;64.55;0;12.7;0
10978518;Kunduchi;Chemchem;102.75;201.9;14.6;17
10975249;Kunduchi;Chemchem;96.7;166.4;14.3;16.5
10975051;Kunduchi;Chemchem;87.31;191.8;14;17
10975438;Kunduchi;Chemchem;94.25;145.9;14.2;16
10974829;Kunduchi;Chemchem;107.68;147.4;15.4;18.2
10974959;Kunduchi;Chemchem;81.08;0;13.5;0
10974700;Kunduchi;Chemchem;95.55;175.8;14;16.7
10975555;Kunduchi;Chemchem;62.89;123;12;14.2
10974823;Kunduchi;Chemchem;61.53;141.5;12;15.5
10977960;Kunduchi;Chemchem;80.05;0;15.2;0
10975388;Kunduchi;Chemchem;78.22;103.5;13.2;14
10975573;Kunduchi;Chemchem;58.84;164.1;12;15
10974856;Kunduchi;Chemchem;68.02;144.1;12.8;16
10974943;Kunduchi;Chemchem;64.36;140.9;12.2;15.5
10974803;Kunduchi;Chemchem;114.25;126.4;15.7;19.5
10975163;Kunduchi;Chemchem;66.83;170.1;12.5;16
10974988;Kunduchi;Chemchem;42.89;0;11;0
10975209;Kunduchi;Chemchem;53.39;136.4;11.7;15.2
10975140;Kunduchi;Chemchem;50.53;89.7;11.5;13
10975556;Kunduchi;Chemchem;46.4;110.9;11;14.2
10977796;Kunduchi;Chemchem;40.13;111.3;10.8;14.5
10975510;Kunduchi;Chemchem;55.04;122;11.5;14.7
10974923;Kunduchi;Chemchem;47.98;147.6;11.5;15.4
10974925;Kunduchi;Chemchem;41.2;122.5;10.5;14.1
10975396;Kunduchi;Chemchem;61.47;176.5;12;16.9
10975096;Kunduchi;Chemchem;40.57;101.5;11;14
10974653;Kunduchi;Chemchem;41.82;0;11;0
10974794;Kunduchi;Chemchem;33.3;80.6;10;12.7
10974850;Kunduchi;Chemchem;37.35;149;10.5;15.6
10975184;Kunduchi;Chemchem;97.15;204;14.5;17.4
10974850;Kunduchi;Chemchem;78.58;149;14;15.6
10975291;Kunduchi;Chemchem;41.29;0;10.7;0
10974964;Kunduchi;Chemchem;83.86;132.8;13.7;15.1
10974720;Kunduchi;Chemchem;22.09;0;8.5;0
10975381;Kunduchi;Chemchem;72.31;166.3;12.6;16
10974990;Kunduchi;Chemchem;20.13;0;8.5;0
10975167;Kunduchi;Chemchem;79.32;165.7;13.5;16.2
10975162;Kunduchi;Chemchem;39.33;89.3;10.5;13.5
10975406;Kunduchi;Chemchem;38.53;85.7;10.6;13.3
10975153;Kunduchi;Chemchem;74.86;54.3;12.7;14
10974914;Kunduchi;Chemchem;47.78;91.8;11.6;13.8
10975415;Kunduchi;Chemchem;31.42;73.1;10;12.2
10974679;Kunduchi;Chemchem;29.45;65.8;10;12
10974647;Kunduchi;Chemchem;64.76;143.2;12.3;15.5
10974967;Kunduchi;Chemchem;40.44;83.1;10.7;13.5
10974691;Kunduchi;Chemchem;53.75;0;12;0
10974645;Kunduchi;Chemchem;77.45;101.2;13.3;14.7
10974892;Kunduchi;Chemchem;36.25;0;10;0
10975173;Kunduchi;Chemchem;33.37;0;10.2;0
10975629;Kunduchi;Chemchem;24.41;91.5;9.4;13.6
10975310;Kunduchi;Chemchem;21.7;0;9;0
10974798;Kunduchi;Chemchem;78.3;0;13.4;0
10975186;Kunduchi;Chemchem;75.67;115.1;13;14.5
10975465;Kunduchi;Chemchem;35.7;86.8;10.2;13.2
10974703;Kunduchi;Chemchem;26.41;64.1;9.2;11.8
10974820;Kunduchi;Chemchem;44.4;126;11.2;14.3
10974934;Kunduchi;Chemchem;72.1;157.6;13;15.7
10975580;Kunduchi;Chemchem;66.25;0;12.5;0
10974677;Kunduchi;Chemchem;62.05;143;12.2;17
10974744;Kunduchi;Chemchem;66.51;134;12.5;15
10975131;Kunduchi;Chemchem;66.79;133.9;12.5;14.5
10975480;Kunduchi;Chemchem;57.41;133.2;12.4;15.5
10975358;Kunduchi;Chemchem;77.15;150.3;13;16
10975454;Kunduchi;Chemchem;59.04;122.7;12;15
10975315;Kunduchi;Chemchem;67.18;108;12;14.5
10975068;Kunduchi;Chemchem;55.81;106.3;12;14.2
10975551;Kunduchi;Chemchem;44.53;0;11.2;0
10974683;Kunduchi;Chemchem;39.17;109.9;11.1;14
10975560;Kunduchi;Chemchem;53.62;77.3;12;13
10975371;Kunduchi;Chemchem;32.72;84.9;10.2;14.3
10974987;Kunduchi;Chemchem;33.42;115.4;10.6;17
10975546;Kunduchi;Chemchem;34.61;71.5;10.3;12.8
10975316;Kunduchi;Chemchem;50.41;0;11.3;0
10974877;Kunduchi;Chemchem;53.26;0;11.3;0
10975490;Kunduchi;Chemchem;62.23;134.1;12.2;15
10975205;Kunduchi;Chemchem;55.65;132.2;10;14.8
10974897;Kunduchi;Chemchem;91.19;120.5;14.4;16.7
10975413;Kunduchi;Chemchem;50.06;94;11.4;13.5
10975432;Kunduchi;Chemchem;30.13;69.1;9.9;12.6
10975369;Kunduchi;Chemchem;20.29;88.8;8.9;13.5
10975148;Kunduchi;Chemchem;22.79;0;8.7;0
10974717;Kunduchi;Chemchem;73.42;122.7;13.2;15.2
10974806;Kunduchi;Chemchem;65.9;100.1;12.7;15.3
10974875;Kunduchi;Chemchem;59.36;109.9;12.3;14.5
10974991;Kunduchi;Chemchem;63.47;110.1;12.3;15.5
10974732;Kunduchi;Chemchem;54.37;126.3;12;15
10975155;Kunduchi;Chemchem;51.33;171;11.5;16.6
10975613;Kunduchi;Chemchem;56.02;0;11.7;0
10974929;Kunduchi;Chemchem;42.73;151.9;11.2;16
10975110;Kunduchi;Chemchem;38.77;87.4;10.6;13.6
10975181;Kunduchi;Chemchem;38.63;0;10.5;0
10974989;Kunduchi;Chemchem;39.84;122.6;11;19.7
10975628;Kunduchi;Chemchem;33.45;0;10.2;0
10975325;Kunduchi;Chemchem;48.53;152.4;11.3;16
10975460;Kunduchi;Chemchem;42.39;119.6;10.5;14.7
10975583;Kunduchi;Chemchem;37.4;104.8;10.5;14.5
10975403;Kunduchi;Chemchem;30.73;116.7;9.7;14.4
10977660;Kunduchi;Chemchem;46.41;110;11;14
10977717;Kunduchi;Chemchem;46.96;147.3;11.2;15.6
10979553;Kunduchi;Chemchem;36.7;0;10.2;0
10975608;Kunduchi;Chemchem;43.83;138.8;11.3;16
10975152;Kunduchi;Chemchem;37.37;95.2;10.3;14.2
10975409;Kunduchi;Chemchem;38.36;120.7;10.3;14.5
10974812;Kunduchi;Chemchem;36.11;88.9;10;13
10974821;Kunduchi;Chemchem;32.12;69.6;10.2;13.7
10975473;Kunduchi;Chemchem;23.34;0;8.8;0
10975508;Kunduchi;Chemchem;20.55;76.1;9;13
10974743;Kunduchi;Chemchem;25.13;75.2;8.9;12.1
10975014;Kunduchi;Chemchem;23.63;64.9;9.1;12.7
10974776;Kunduchi;Chemchem;21.49;0;8.4;0
10975485;Kunduchi;Mindu;112.85;226;16.1;16.1
10975074;Kunduchi;Mindu;66.68;159;12.5;17.2
10974974;Kunduchi;Mindu;109.58;161.2;15;17.1
10975019;Kunduchi;Mindu;85.68;102.3;14.6;16
10974998;Kunduchi;Mindu;106.29;170.8;16;18
10974956;Kunduchi;Mindu;95.33;199.5;15.2;18
10975350;Kunduchi;Mindu;106.45;213.4;15.7;19.2
10974670;Kunduchi;Mindu;91.91;157.2;15;17.1
10975021;Kunduchi;Mindu;82.88;101.7;14.2;15
10975330;Kunduchi;Mindu;83.21;182.9;14.5;18
10975356;Kunduchi;Mindu;76.95;188.3;14.4;18
10975027;Kunduchi;Mindu;120.29;200.8;16.7;18.3
10975448;Kunduchi;Mindu;89.21;208.7;14.7;18
10975130;Kunduchi;Mindu;74.3;173.6;13.7;17.3
10975241;Kunduchi;Mindu;76.48;149.4;14;17
10975419;Kunduchi;Mindu;68.2;131.9;13.9;16
10975545;Kunduchi;Mindu;39.14;109.2;11;15
10975498;Kunduchi;Mindu;74.1;183.3;13.5;17.5
10975600;Kunduchi;Mindu;45.18;0;12;0
10975140;Kunduchi;Mindu;100.65;200.7;15.5;19
10975311;Kunduchi;Mindu;49.92;0;12;0
10975621;Kunduchi;Mindu;81.03;152.6;14.3;17.8
10974859;Kunduchi;Mindu;37.9;116.8;10.2;15.5
10974898;Kunduchi;Mindu;35.46;81.6;11;14
10975579;Kunduchi;Mindu;41.74;80.4;11.3;13.5
10975262;Kunduchi;Mindu;22.24;67.2;9.2;13
10975472;Kunduchi;Mindu;21.97;50;8.7;10
10974918;Kunduchi;Mindu;52.74;159.5;12.1;17
10975280;Kunduchi;Mindu;66.6;180;13;18
10975482;Kunduchi;Mindu;61.05;173;12.8;17.5
10974771;Kunduchi;Mindu;73.48;166;13.5;17.5
10974950;Kunduchi;Mindu;71.12;176;13;17.2
10975054;Kunduchi;Mindu;65.62;207.6;13;18.2
10975048;Kunduchi;Mindu;73.48;211.1;13.7;18.5
10974949;Kunduchi;Mindu;62.06;158.7;13;17
10975418;Kunduchi;Mindu;83.05;183.4;14;17.2
10975469;Kunduchi;Mindu;72.45;0;13.5;0
10975491;Kunduchi;Mindu;105.06;229;15;19
10974733;Kunduchi;Mindu;72.5;167.7;13.5;17.6
10975524;Kunduchi;Mindu;42.7;140;11.3;16.5
10975383;Kunduchi;Mindu;62.7;212.1;13.3;18.2
10974769;Kunduchi;Mindu;83.03;143.2;12;16.1
10975086;Kunduchi;Mindu;64.52;0;12.7;0
10975142;Kunduchi;Mindu;68.91;170.9;13.2;18
10975332;Kunduchi;Mindu;84.51;239.9;14.2;19.6
10974740;Kunduchi;Mindu;95.97;177.9;14.5;18
10974729;Kunduchi;Mindu;82.22;143.4;13.7;16
10974862;Kunduchi;Mindu;80.23;194;13.3;17.6
10975531;Kunduchi;Mindu;71.55;150.6;13.5;17.5
10975135;Kunduchi;Mindu;95.08;155.9;14.8;17
10975581;Kunduchi;Mindu;95.2;151.4;14.6;17
10975265;Kunduchi;Mindu;65.6;182.9;13.4;18
10975349;Kunduchi;Mindu;76.7;149.9;13.7;16.5
10975500;Kunduchi;Mindu;66.95;192;13.2;17.5
10975343;Kunduchi;Mindu;61.44;192.2;12.6;18
10975289;Kunduchi;Mindu;59.09;0;12.4;0
10974953;Kunduchi;Mindu;60.5;0;12.7;0
10974815;Kunduchi;Mindu;58.52;177.3;12;17.5
10974888;Kunduchi;Mindu;49.47;115.9;11.7;14.1
10974896;Kunduchi;Mindu;30.88;87.9;10;13.1
10974751;Kunduchi;Mindu;34.87;74.7;10.5;12.5
10974749;Kunduchi;Mindu;49.71;110.1;11.6;13.2
10974783;Kunduchi;Mindu;60.65;168.4;12.8;16.5
10975100;Kunduchi;Mindu;33.92;88.6;10.3;13
10975412;Kunduchi;Mindu;45.76;91;11.8;14.1
10974978;Kunduchi;Mindu;42.19;136;11.5;15.5
10975360;Kunduchi;Mindu;31.74;81.5;10;13
10974672;Kunduchi;Mindu;49.42;123.2;11.5;14.5
10975607;Kunduchi;Mindu;34.19;0;10.5;0
10974799;Kunduchi;Mindu;45.15;146;11.5;15
10975126;Kunduchi;Mindu;38.89;67.3;11;12.5
10974842;Kunduchi;Mindu;34.43;108.4;10.4;13.7
10974984;Kunduchi;Mindu;37.48;86.9;11;13.5
10975050;Kunduchi;Mindu;35.5;94.4;10.5;13.3
10975618;Kunduchi;Mindu;38.92;111.6;11.5;14.5
10975375;Kunduchi;Mindu;50.86;114.6;12;14.2
10975084;Kunduchi;Mindu;30.99;87.3;10;13.1
10975071;Kunduchi;Mindu;25.36;89.6;9;13
10975240;Kunduchi;Mindu;38.91;0;11;0
10975550;Kunduchi;Mindu;33.49;90.1;10;13.5
10974993;Kunduchi;Mindu;26.86;84;9.5;12.8
10975229;Kunduchi;Mindu;26.95;74.1;9.7;12.8
10976587;Kunduchi;Mindu;26.32;0;9.2;0
10975449;Kunduchi;Mindu;26.58;0;9.3;0
10975254;Kunduchi;Mindu;27.72;100;9.9;14
10975424;Kunduchi;Mindu;22.58;70.6;8.9;12
10974775;Kunduchi;Mindu;24.89;69.6;9.1;12.3
10974824;Kunduchi;Mindu;21.03;59.2;8.6;12
10974755;Kunduchi;Mindu;58.26;59.2;11.7;12
10975474;Kunduchi;Mindu;115.11;151.7;15.4;16.5
10975034;Kunduchi;Mindu;119.38;159.4;15.5;16.6
10974975;Kunduchi;Mindu;86.34;188.5;13.5;18
10975263;Kunduchi;Mindu;66.45;120.1;12.9;14.9
10974985;Kunduchi;Mindu;78.29;121.1;13.2;16
10974797;Kunduchi;Mindu;62.69;0;12.3;0
10975563;Kunduchi;Mindu;44.64;120.3;11.2;15
10975105;Kunduchi;Mindu;51.26;82.7;11.8;13.1
10975337;Kunduchi;Mindu;45.92;0;11.1;0
10975312;Kunduchi;Mindu;52.27;114.2;11.5;14.4
10975102;Kunduchi;Mindu;36.54;0;10.1;0
10975166;Kunduchi;Mindu;37.34;95.9;10.3;13.5
10974807;Kunduchi;Mindu;27.64;95.7;9.6;13.4
10974817;Kunduchi;Mindu;25.04;70;9.4;12.5
10974845;Kunduchi;Mindu;31.16;79;9.9;12.6
10974836;Kunduchi;Mindu;28.29;84.2;9.6;13
10974681;Kunduchi;Mindu;23.21;0;8.8;0
10974724;Kunduchi;Mindu;31.11;82.4;9.2;12.8
10975323;Kunduchi;Mindu;23.1;65.2;8.8;12.2
10974759;Kunduchi;Mindu;30.01;73.5;9.3;12.3
10975446;Kunduchi;Mindu;29.51;85;9.6;13
10974864;Kunduchi;Mindu;29.58;75.4;9.3;12.1
10975259;Kunduchi;Mindu;30.06;85.6;9.7;13.2
10975271;Kunduchi;Mindu;29.62;80.5;9.6;13
10975108;Kunduchi;Mindu;22.25;57.6;8.3;11
10975281;Kunduchi;Mindu;23.83;105.3;9;14.5
10974839;Kunduchi;Mindu;23.62;84.6;9.1;13.1
10975193;Kunduchi;Mindu;25;73.4;9;12.3
10975314;Kunduchi;Mindu;19.15;61.8;8.4;11.3
10974980;Kunduchi;Utete;97.41;152;14.5;16.5
10975120;Kunduchi;Utete;68.34;111.5;13;14.3
10975161;Kunduchi;Utete;107.72;137.9;15.2;16
10975614;Kunduchi;Utete;71.35;0;13.3;0
10974763;Kunduchi;Utete;128.85;140.8;16.4;19
10974688;Kunduchi;Utete;73.15;0;12.7;0
10974838;Kunduchi;Utete;77.46;98.1;12.7;14
10974760;Kunduchi;Utete;85.92;202.2;13.4;17.5
10975431;Kunduchi;Utete;63.67;0;12.1;0
10974809;Kunduchi;Utete;63.96;91.3;12.2;13.5
10975554;Kunduchi;Utete;46.24;110;11.1;14
10975201;Kunduchi;Utete;36.72;96.4;10.3;13.6
10974642;Kunduchi;Utete;64.44;87.2;12.4;13.5
10974841;Kunduchi;Utete;49.28;147.1;11.4;16
10975463;Kunduchi;Utete;43.38;105.5;10.9;14
10975364;Kunduchi;Utete;32.03;0;10.1;0
10975433;Kunduchi;Utete;41.9;95.7;10.6;13.3
10974882;Kunduchi;Utete;42.83;0;10.8;0
10975080;Kunduchi;Utete;26.01;77.9;9.2;13
10975543;Kunduchi;Utete;31.88;66.7;9.8;11.5
10975511;Kunduchi;Utete;25.22;79.4;9.2;12.7
10975283;Kunduchi;Utete;31.93;70.7;9.9;12.5
10975532;Kunduchi;Utete;30.19;92.1;9.5;13.4
10975119;Kunduchi;Utete;21.27;54.4;8.5;11.2
10975390;Kunduchi;Utete;19.28;0;8.3;0
10975352;Kunduchi;Utete;49.59;82.3;11.2;13.2
10975005;Kunduchi;Utete;20.06;64.1;8.3;12.1
10975212;Kunduchi;Utete;17.98;53.2;8.1;14.2
10975175;Kunduchi;Utete;17.25;0;7.8;0
10974646;Kunduchi;Utete;39.13;79.1;11;13.5
10974933;Kunduchi;Utete;43.13;74.2;11.4;13.5
10975117;Kunduchi;Utete;33.69;68;10.4;12.2
10974634;Kunduchi;Utete;30.04;72.9;10;12.5
10975141;Kunduchi;Utete;44.66;126.4;11.2;15.5
10975378;Kunduchi;Utete;40.77;72.4;10.6;13.1
