Id	Sire	Dam	Line
10977965	Sire_1	Dam_1	Wami
10978207	Sire_1	Dam_1	Wami
10978378	Sire_1	Dam_1	Wami
10978460	Sire_1	Dam_1	Wami
10977732	Sire_1	Dam_1	Wami
10978530	Sire_1	Dam_1	Wami
10978612	Sire_1	Dam_1	Wami
10977963	Sire_1	Dam_1	Wami
10977682	Sire_1	Dam_1	Wami
10978295	Sire_1	Dam_1	Wami
10977643	Sire_1	Dam_1	Wami
10978401	Sire_1	Dam_1	Wami
10978321	Sire_1	Dam_1	Wami
10978593	Sire_1	Dam_1	Wami
10977891	Sire_1	Dam_1	Wami
10978510	Sire_1	Dam_1	Wami
10978282	Sire_1	Dam_1	Wami
10978131	Sire_1	Dam_1	Wami
10977956	Sire_1	Dam_1	Wami
10978586	Sire_1	Dam_1	Wami
10978426	Sire_1	Dam_1	Wami
10978463	Sire_1	Dam_1	Wami
10977973	Sire_1	Dam_1	Wami
10978434	Sire_1	Dam_1	Wami
10978506	Sire_1	Dam_1	Wami
10977686	Sire_1	Dam_1	Wami
10978184	Sire_1	Dam_1	Wami
10978407	Sire_1	Dam_1	Wami
10977751	Sire_1	Dam_1	Wami
10977710	Sire_1	Dam_1	Wami
10977793	Sire_2	Dam_2	Wami
10977889	Sire_2	Dam_2	Wami
10977985	Sire_2	Dam_2	Wami
10977702	Sire_2	Dam_2	Wami
10978024	Sire_2	Dam_2	Wami
10978539	Sire_2	Dam_2	Wami
10978226	Sire_2	Dam_2	Wami
10977804	Sire_2	Dam_2	Wami
10977856	Sire_2	Dam_2	Wami
10978385	Sire_2	Dam_2	Wami
10978349	Sire_2	Dam_2	Wami
10978217	Sire_2	Dam_2	Wami
10978432	Sire_2	Dam_2	Wami
10977749	Sire_2	Dam_2	Wami
10978630	Sire_2	Dam_2	Wami
10978307	Sire_2	Dam_2	Wami
10977769	Sire_2	Dam_2	Wami
10978616	Sire_2	Dam_2	Wami
10977698	Sire_2	Dam_2	Wami
10977700	Sire_2	Dam_2	Wami
10978309	Sire_2	Dam_2	Wami
10978092	Sire_2	Dam_2	Wami
10978565	Sire_2	Dam_2	Wami
10977770	Sire_2	Dam_2	Wami
10978008	Sire_2	Dam_2	Wami
10978431	Sire_2	Dam_2	Wami
10977968	Sire_2	Dam_2	Wami
10978117	Sire_2	Dam_2	Wami
10978045	Sire_2	Dam_2	Wami
10978344	Sire_2	Dam_2	Wami
10978284	Sire_3	Dam_3	Wami
10978427	Sire_3	Dam_3	Wami
10977905	Sire_3	Dam_3	Wami
10978034	Sire_3	Dam_3	Wami
10977840	Sire_3	Dam_3	Wami
10978629	Sire_3	Dam_3	Wami
10978414	Sire_3	Dam_3	Wami
10978181	Sire_3	Dam_3	Wami
10978019	Sire_3	Dam_3	Wami
10978373	Sire_3	Dam_3	Wami
10978354	Sire_3	Dam_3	Wami
10978325	Sire_3	Dam_3	Wami
10977768	Sire_3	Dam_3	Wami
10977993	Sire_3	Dam_3	Wami
10978395	Sire_3	Dam_3	Wami
10978359	Sire_3	Dam_3	Wami
10977862	Sire_3	Dam_3	Wami
10977747	Sire_3	Dam_3	Wami
10977668	Sire_3	Dam_3	Wami
10977971	Sire_3	Dam_3	Wami
10978521	Sire_3	Dam_3	Wami
10978047	Sire_4	Dam_4	Wami
10978466	Sire_4	Dam_4	Wami
10975865	Sire_4	Dam_4	Wami
10977890	Sire_4	Dam_4	Wami
10978180	Sire_4	Dam_4	Wami
10977838	Sire_4	Dam_4	Wami
10977703	Sire_4	Dam_4	Wami
