PIT_TAG	Location	Line	Family	Age	Pond	Happa	Weight_initial	Weight_final	Length_initial	Length_final	AGR
10977965	Kunduchi	Wami	1	154	2	3	84.30	201.50	14.20	18.00	0.761038961
10978207	Kunduchi	Wami	1	154	1	2	67.80	0.00	13.40	0.00	-0.44025974
10978378	Kunduchi	Wami	1	154	2	4	103.94	225.90	14.40	18.50	0.791948052
10978460	Kunduchi	Wami	1	154	1	1	84.85	239.20	14.50	19.90	1.002272727
10977732	Kunduchi	Wami	1	154	1	1	78.29	195.60	14.00	19.00	0.761753247
10978532	Kunduchi	Wami	1	154	1	1	89.93	220.00	14.70	19.00	0.84461039
10978612	Kunduchi	Wami	1	154	1	1	117.83	270.90	15.00	20.00	0.993961039
10977963	Kunduchi	Wami	1	154	1	2	92.48	209.40	14.90	18.30	0.759220779
10977682	Kunduchi	Wami	1	154	2	4	95.54	178.80	14.90	17.70	0.540649351
10978295	Kunduchi	Wami	1	154	2	4	70.27	135.20	13.30	16.00	0.421623377
10977643	Kunduchi	Wami	1	154	1	1	79.96	184.00	14.20	18.20	0.675584416
10978401	Kunduchi	Wami	1	154	2	4	101.76	173.90	14.50	17.20	0.468441558
10978321	Kunduchi	Wami	1	154	2	3	52.01	168.80	12.50	17.00	0.758376623
10978593	Kunduchi	Wami	1	154	2	3	91.93	182.70	14.30	18.00	0.589415584
10977891	Kunduchi	Wami	1	154	2	3	83.48	183.00	13.80	17.50	0.646233766
10978510	Kunduchi	Wami	1	154	1	2	87.03	219.90	14.30	18.50	0.862792208
10978282	Kunduchi	Wami	1	154	1	2	87.54	213.10	13.40	17.00	0.815324675
10978130	Kunduchi	Wami	1	154	1	2	69.83	204.70	13.30	19.00	0.875779221
10977956	Kunduchi	Wami	1	154	1	1	76.47	218.20	13.70	18.50	0.920324675
10978586	Kunduchi	Wami	1	154	1	2	84.97	179.30	14.00	17.10	0.612532468
10978426	Kunduchi	Wami	1	154	1	2	69.47	0.00	13.30	0.00	-0.451103896
10978463	Kunduchi	Wami	1	154	2	3	70.53	196.10	13.40	18.00	0.81538961
10977973	Kunduchi	Wami	1	154	2	4	69.51	171.10	13.30	16.70	0.659675325
